0.792,0.38044,0.12925,-0.48385,2.6622,-0.0030851,-16.055,31.448,-0.4111,-0.19283,-0.1126,0.20419,3.8091,0.041733,0.52069,1.1498,1.3015,3.2952,30.246,0.34882,-0.047796,0.26642,0.087136
0.812,0.79908,0.47397,-0.41936,2.4676,-0.0030851,-17.137,31.156,-0.38986,-0.19081,-0.12304,0.21246,4.1115,-0.046294,0.2152,-0.34598,1.3015,4.0128,29.296,0.43563,-0.046562,0.27279,0.094902
0.833,1.0858,0.77573,-0.28865,2.4676,-0.0030851,-17.716,31.02,-0.35842,-0.17893,-0.13228,0.22076,4.0341,-0.17792,-0.06751,-1.8418,1.3015,4.7303,28.434,0.53884,-0.048642,0.27258,0.10476
0.864,1.2438,1.0025,-0.10227,2.4676,-0.0030851,-18.295,31.135,-0.32005,-0.15985,-0.13895,0.23231,3.5647,-0.33921,-0.29886,-2.8171,1.3591,6.7578,27.572,0.64588,-0.054215,0.26681,0.12301
0.884,1.2895,1.1316,0.11794,2.4676,-0.46262,-18.295,31.539,-0.28212,-0.13865,-0.14113,0.23883,2.7516,-0.50431,-0.46367,-3.7924,1.4168,8.7852,26.595,0.73262,-0.062416,0.25753,0.136
0.909,1.2558,1.1531,0.34403,2.4676,-0.92215,-18.295,32.211,-0.24757,-0.11707,-0.13742,0.24622,1.6941,-0.63925,-0.56044,-3.7924,1.4168,10.463,25.41,0.7886,-0.073715,0.24552,0.15411
0.93,1.1928,1.0718,0.54851,3.4327,-1.1416,-19.178,33.069,-0.21284,-0.094237,-0.12784,0.25158,0.52193,-0.70872,-0.59881,-3.7924,1.4168,12.141,23.965,0.82021,-0.088887,0.23075,0.16999
0.962,1.1635,0.90748,0.70996,4.3979,-1.3611,-20.061,33.991,-0.17619,-0.071965,-0.11357,0.25867,-0.62929,-0.68382,-0.59431,-3.7924,1.5024,13.924,22.267,0.82982,-0.10575,0.21465,0.19546
0.981,1.2326,0.69231,0.81624,4.8152,-1.6465,-20.365,34.828,-0.14025,-0.054628,-0.096101,0.26194,-1.6414,-0.54982,-0.56278,-3.7924,1.588,15.708,20.351,0.8113,-0.11994,0.1995,0.20995
1.013,1.4479,0.4663,0.86521,5.2325,-1.932,-20.668,35.432,-0.10408,-0.044139,-0.076864,0.26645,-2.4309,-0.31091,-0.5158,-3.177,1.7529,16.982,18.316,0.76629,-0.12878,0.18602,0.23421
1.032,1.8191,0.27051,0.86318,5.5202,-2.3516,-20.668,35.69,-0.060699,-0.038796,-0.057085,0.26818,-2.9567,0.0085145,-0.45862,-2.5616,1.9178,18.256,16.285,0.70617,-0.13127,0.1736,0.24716
1.064,2.3009,0.13921,0.82032,5.808,-2.7712,-20.668,35.542,-0.0051039,-0.036635,-0.037685,0.26999,-3.2192,0.36747,-0.39054,-2.5616,1.9178,18.981,14.403,0.63751,-0.12538,0.16249,0.26782
1.084,2.789,0.093218,0.74711,5.9117,-2.7712,-20.668,35.033,0.061573,-0.036727,-0.019511,0.27115,-3.2512,0.71564,-0.30731,-2.5616,1.9178,19.705,12.808,0.56176,-0.10951,0.15373,0.27878
1.115,3.1287,0.13519,0.65257,6.0155,-2.7712,-20.668,34.294,0.13543,-0.037531,-0.0037636,0.27461,-3.1065,1.0035,-0.20444,-2.5616,1.9178,19.78,11.596,0.48717,-0.08593,0.14764,0.29425
1.135,3.1458,0.24894,0.5418,6.0155,-2.7712,-20.536,33.566,0.21017,-0.036651,0.0084535,0.2784,-2.8466,1.1921,-0.080068,-2.5616,1.9178,19.854,10.804,0.4242,-0.058871,0.14421,0.30232
1.161,2.6949,0.4025,0.41905,6.0155,-2.7712,-20.404,33.14,0.27575,-0.032336,0.017171,0.28491,-2.5309,1.2616,0.063047,-3.071,1.2301,19.854,10.443,0.37159,-0.029769,0.14426,0.31175
1.181,1.7021,0.55551,0.28833,6.2346,-2.7655,-20.017,33.313,0.32271,-0.023996,0.023269,0.2911,-2.2102,1.215,0.21747,-3.5804,0.54249,19.854,10.435,0.32139,0.0016205,0.14856,0.31773
1.213,0.20274,0.66802,0.15508,6.4537,-2.7598,-19.63,34.322,0.3439,-0.011986,0.026947,0.30186,-1.9235,1.0769,0.37253,-4.3766,0.39243,19.78,10.674,0.27387,0.032782,0.15671,0.32683
1.232,-1.6476,0.70918,0.028025,6.8125,-2.7598,-18.153,36.269,0.32693,0.0022585,0.027388,0.30845,-1.697,0.88758,0.51647,-5.1728,0.24237,19.705,11.031,0.23424,0.059616,0.16823,0.33118
1.264,-3.5948,0.66512,-0.08395,6.8125,-2.7598,-18.153,39.084,0.25589,0.016462,0.024271,0.31772,-1.5458,0.69444,0.63865,-5.1728,0.22206,19.048,11.352,0.20033,0.081085,0.18359,0.33896
1.284,-5.3339,0.54082,-0.17228,6.8125,-2.7598,-18.153,42.504,0.13118,0.028478,0.018548,0.3219,-1.4754,0.54128,0.7313,-5.1728,0.20176,18.392,11.53,0.16655,0.098819,0.20252,0.34337
1.315,-6.5768,0.35873,-0.23245,6.8125,-2.6179,-16.676,46.134,-0.021756,0.036625,0.011466,0.32431,-1.4819,0.45925,0.79028,-5.1728,0.20176,18.163,11.436,0.1344,0.11349,0.22248,0.35091
1.334,-7.1202,0.15264,-0.26493,6.8125,-2.6179,-15.61,49.537,-0.17479,0.039647,0.0037783,0.32639,-1.5549,0.46121,0.815,-5.1728,0.20176,17.933,10.993,0.10733,0.12539,0.24091,0.35548
